No,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
0,67,male,2,own,NA,little,14494431,6,radio/TV
1,22,female,2,own,little,moderate,73786449,48,radio/TV
2,49,male,1,own,little,NA,25988304,12,education
3,45,male,2,free,little,little,97728918,42,furniture/equipment
4,53,male,2,free,little,little,60383130,24,car
5,35,male,1,free,NA,NA,112272945,36,education
6,53,male,2,own,quite rich,NA,35151165,24,furniture/equipment
7,35,male,3,rent,little,moderate,86148252,36,car
8,61,male,1,own,rich,NA,37928541,12,radio/TV
9,28,male,3,own,little,moderate,64896366,30,car
10,25,female,2,rent,little,moderate,16056705,12,car
11,24,female,2,rent,little,little,53414892,48,business
12,22,female,2,own,little,moderate,19429233,12,radio/TV
13,60,male,1,own,little,little,14866401,24,car
14,28,female,2,rent,little,little,17395797,15,car
15,32,female,1,own,moderate,little,15895518,24,radio/TV
16,53,male,2,own,NA,NA,30055176,24,radio/TV
17,25,male,2,own,NA,little,100084728,30,business
18,44,female,3,free,little,moderate,155967021,24,car
19,31,male,2,own,quite rich,NA,42528570,24,radio/TV
20,48,male,2,own,little,NA,26459466,9,car
21,44,male,2,rent,quite rich,little,32820153,6,radio/TV
22,48,male,1,rent,little,little,27786159,10,car
23,44,male,2,own,moderate,moderate,22367796,12,car
24,26,male,2,own,NA,NA,25653531,10,furniture/equipment
25,36,male,1,own,little,little,17036226,6,furniture/equipment
26,39,male,1,own,little,NA,5281974,6,radio/TV
27,42,female,2,rent,rich,rich,5071191,12,radio/TV
28,34,male,2,own,little,moderate,29943585,7,radio/TV
29,63,male,2,own,little,little,84759564,60,business
30,36,male,2,own,rich,moderate,23719287,18,business
31,27,male,2,own,little,little,49843980,24,furniture/equipment
32,30,male,2,own,moderate,moderate,72732534,18,car
33,57,male,1,rent,NA,NA,15672336,12,business
34,33,female,3,own,little,rich,18276126,12,furniture/equipment
35,25,male,1,own,little,moderate,58845654,45,radio/TV
36,31,male,2,free,little,NA,75757890,48,education
37,37,male,2,own,little,rich,26037900,18,radio/TV
38,37,male,2,own,little,rich,15188775,10,domestic appliances
39,24,male,2,own,little,moderate,5678742,9,radio/TV
40,30,male,3,own,quite rich,NA,28926867,30,radio/TV
41,26,male,2,own,quite rich,moderate,14358042,12,radio/TV
42,44,male,1,own,little,moderate,76923396,18,repairs
43,24,male,2,rent,moderate,little,76712613,30,car
44,58,female,1,free,little,little,76167057,48,car
45,35,female,3,own,little,NA,17271807,11,car
46,39,male,2,own,quite rich,NA,28505301,36,radio/TV
47,23,female,0,rent,quite rich,little,16763448,6,car
48,39,male,1,own,little,NA,89619972,11,car
49,28,female,2,own,moderate,NA,25703127,12,radio/TV
50,29,male,1,own,NA,moderate,28926867,24,furniture/equipment
51,30,male,3,own,little,moderate,73960035,27,car
52,25,male,2,own,little,NA,15647538,12,radio/TV
53,31,male,2,own,NA,NA,41883822,18,car
54,57,male,2,free,little,moderate,27587775,36,car
55,26,male,1,own,NA,NA,9708417,6,car
56,52,male,3,own,NA,moderate,80196732,12,radio/TV
57,31,female,2,own,little,NA,118608834,36,radio/TV
58,23,female,3,own,little,rich,24314439,18,car
59,23,female,1,rent,little,little,77233371,36,furniture/equipment
60,27,male,2,own,little,moderate,17247009,9,business
61,50,male,2,own,NA,moderate,19057263,15,radio/TV
62,61,male,3,free,little,moderate,24215247,36,business
63,25,male,2,own,little,moderate,178805979,48,business
64,26,female,2,own,little,NA,39441219,24,radio/TV
65,48,male,2,own,NA,NA,64350810,27,repairs
